feature,shap_value,rank
num__ICULOS,0.06299228558445259,1
cat__Gender_1.0,0.02373773057248851,2
cat__Gender_0.0,0.020457893106054528,3
num__O2Sat,0.019087819541900777,4
cat__Unit1_0.0,0.018421112052985123,5
cat__Unit2_1.0,0.01577284131676653,6
num__HR,0.013894614037647135,7
num__MAP,0.012798755272154011,8
num__Temp,0.011730669542522346,9
num__Resp,0.010910430057234334,10
num__WBC,0.008968052791980678,11
cat__Unit1_1.0,0.008319001340035919,12
cat__Unit2_0.0,0.007847857669495435,13
num__Age,0.0077900740684417194,14
num__SBP,0.007403182840336952,15
num__Glucose,0.005768263219934774,16
num__DBP,0.0052997161347229935,17
num__Potassium,0.005123695363887836,18
num__HospAdmTime,0.004724013329637155,19
num__BUN,0.004674472198387585,20
num__Hct,0.0032940748433868154,21
num__Creatinine,0.003222801156585156,22
num__Platelets,0.002689515491720865,23
num__Hgb,0.0023377482781382105,24
num__HCO3,0.0,25
num__FiO2,0.0,26
num__Chloride,0.0,27
num__BaseExcess,0.0,28
num__PaCO2,0.0,29
num__Magnesium,0.0,30
num__SaO2,0.0,31
num__pH,0.0,32
